,alpha_001,alpha_002,alpha_003,alpha_004,alpha_005,alpha_006,alpha_007,alpha_008,alpha_009,alpha_010,alpha_011,alpha_012,alpha_013,alpha_014,alpha_015,alpha_016,alpha_017,alpha_018,alpha_019,alpha_020,alpha_021,alpha_022,alpha_024,alpha_026,alpha_027,alpha_028,alpha_029,alpha_031,alpha_032,alpha_033,alpha_034,alpha_035,alpha_036,alpha_037,alpha_038,alpha_039,alpha_040,alpha_041,alpha_042,alpha_043,alpha_044,alpha_045,alpha_046,alpha_047,alpha_048,alpha_049,alpha_050,alpha_051,alpha_052,alpha_053,alpha_054,alpha_055,alpha_056,alpha_057,alpha_058,alpha_059,alpha_060,alpha_061,alpha_062,alpha_063,alpha_064,alpha_065,alpha_066,alpha_067,alpha_068,alpha_069,alpha_070,alpha_071,alpha_072,alpha_073,alpha_074,alpha_075,alpha_076,alpha_077,alpha_078,alpha_079,alpha_080,alpha_081,alpha_082,alpha_083,alpha_084,alpha_085,alpha_086,alpha_087,alpha_088,alpha_089,alpha_090,alpha_091,alpha_092,alpha_093,alpha_094,alpha_095,alpha_096,alpha_097,alpha_098,alpha_099,alpha_100,alpha_101,alpha_102,alpha_103,alpha_104,alpha_105,alpha_106,alpha_107,alpha_108,alpha_109,alpha_110,alpha_111,alpha_112,alpha_113,alpha_114,alpha_115,alpha_116,alpha_118,alpha_119,alpha_120,alpha_121,alpha_122,alpha_123,alpha_124,alpha_125,alpha_126,alpha_127,alpha_128,alpha_129,alpha_130,alpha_131,alpha_132,alpha_133,alpha_134,alpha_135,alpha_137,alpha_138,alpha_139,alpha_140,alpha_141,alpha_142,alpha_144,alpha_145,alpha_146,alpha_147,alpha_148,alpha_150,alpha_151,alpha_152,alpha_153,alpha_154,alpha_155,alpha_156,alpha_157,alpha_158,alpha_159,alpha_160,alpha_161,alpha_162,alpha_163,alpha_164,alpha_165,alpha_166,alpha_167,alpha_168,alpha_169,alpha_170,alpha_171,alpha_172,alpha_173,alpha_174,alpha_175,alpha_176,alpha_177,alpha_178,alpha_179,alpha_180,alpha_181,alpha_182,alpha_183,alpha_184,alpha_185,alpha_186,alpha_187,alpha_188,alpha_189,alpha_190,alpha_191
alpha_011,-0.19183,-0.01133,0.06866,-0.15313,-0.05503,-0.26386,-0.05350,-0.05445,0.00486,0.00361,1.00000,-0.00441,-0.02520,0.05727,0.02701,-0.03645,0.00000,0.34618,0.34655,0.37763,0.04386,0.26150,0.04850,-0.09061,0.21804,0.39415,0.39853,0.34198,-0.02096,-0.03292,-0.33779,-0.16203,0.06509,-0.22675,-0.03377,-0.19787,0.17230,-0.27782,-0.08779,0.59531,0.21701,0.19348,-0.31204,-0.31748,-0.20858,-0.22278,0.22278,0.22278,0.15128,0.22326,-0.08573,0.02967,-0.12670,0.36309,0.17706,0.00600,0.57466,-0.20728,0.01178,0.34912,-0.07026,-0.31852,0.32242,0.19258,0.00509,0.12355,0.01936,0.25341,-0.24894,0.00377,0.05710,-0.12186,-0.03880,-0.08477,0.30604,0.29026,0.10990,-0.11117,-0.20866,-0.02421,-0.28745,-0.16401,-0.14901,-0.23499,0.16235,0.04446,-0.06774,0.17945,-0.15786,-0.00317,-0.22645,-0.03676,0.27488,-0.10865,-0.06685,-0.07105,-0.14817,0.01036,0.10952,-0.08545,-0.00533,0.01588,0.03256,0.09378,0.01266,0.16044,0.08385,-0.34766,0.25642,-0.04289,-0.02580,0.03315,0.02186,0.11748,0.02835,-0.17223,-0.15363,0.05410,0.01780,0.01157,-0.10203,0.00963,-0.10161,0.21483,-0.00712,-0.00459,0.08488,-0.02554,0.12485,0.26776,0.00261,0.03632,-0.15829,-0.00922,-0.04314,-0.05034,-0.15160,0.02146,0.04239,0.08563,0.00619,-0.05528,0.06632,0.00986,0.00615,-0.00743,-0.03559,0.22221,-0.08891,-0.07116,-0.08854,-0.03413,0.00977,-0.00799,0.30809,-0.10259,-0.02052,-0.04649,-0.12908,-0.00712,-0.12165,0.00219,-0.33258,-0.04603,0.04999,0.00095,-0.17268,0.03611,0.11754,-0.02387,-0.02486,0.05040,-0.28427,0.01947,0.02190,-0.03403,-0.17268,-0.14376,0.02502,0.01168,0.00911,0.05706,0.05720,-0.17945
alpha_012,0.01423,-0.00612,-0.47161,0.01359,0.00930,0.02887,0.04544,0.45800,-0.62297,-0.13068,-0.00441,1.00000,-0.13118,-0.51133,-0.03565,0.01376,0.00000,-0.10100,-0.08551,-0.10540,-0.45140,-0.05219,-0.50176,0.30793,-0.09773,-0.03385,-0.00829,-0.10578,-0.00276,0.27336,0.08951,0.03292,-0.00664,0.02276,0.42711,0.03039,-0.04505,0.03048,0.02323,-0.00409,-0.02577,-0.00637,0.08903,0.03902,0.01852,0.03314,-0.03314,-0.03314,-0.07943,-0.02929,0.00511,-0.38017,0.01817,-0.03763,-0.02419,-0.07225,-0.00398,0.02283,0.00578,-0.03851,-0.00123,0.07405,-0.08278,-0.03893,-0.62348,-0.02399,-0.07961,-0.11468,0.03482,-0.00168,-0.00132,0.02979,-0.01181,-0.00532,-0.03183,-0.04269,-0.00564,0.00600,0.03076,-0.00394,0.00224,0.01209,0.03101,0.02653,-0.10100,-0.43364,0.00540,-0.01405,0.03569,-0.03169,0.00225,-0.06632,-0.03457,0.00480,0.31060,-0.00180,0.00527,-0.00404,-0.01429,0.01067,0.00900,0.00635,-0.39933,-0.01965,-0.00081,-0.03331,-0.04946,-0.00000,-0.03528,0.00196,0.09383,-0.00373,-0.32703,-0.05745,-0.00904,0.01124,0.01460,-0.02993,0.01087,-0.03516,0.01070,-0.11085,0.00960,-0.02816,-0.04336,-0.00467,-0.00246,-0.05222,-0.01953,-0.00921,0.04333,-0.31722,0.00983,0.01197,0.00526,-0.00474,0.00950,0.01187,-0.01514,-0.03545,-0.18961,0.01816,-0.10579,-0.18580,0.02978,0.08936,0.00584,-0.00169,0.01423,0.01173,0.05637,0.02174,-0.18274,0.17796,-0.02094,0.00164,0.00029,0.00231,0.00021,-0.04336,0.01441,-0.13408,0.02656,0.00710,-0.02597,-0.00259,0.01623,-0.00071,-0.00816,0.48954,-0.00227,-0.00801,0.03919,0.00003,-0.00735,-0.00376,0.01623,-0.00050,-0.02407,-0.18931,0.00225,-0.00552,-0.00000,0.01405
alpha_013,0.02927,0.13307,-0.15685,-0.00024,0.01042,0.01442,0.05801,0.13608,-0.07206,0.01832,-0.02520,-0.13118,1.00000,-0.16636,0.00425,0.01590,0.00000,-0.11890,-0.11944,-0.10157,0.02089,-0.04184,-0.00344,0.47112,-0.01572,-0.08144,-0.01858,-0.12969,0.02827,-0.07293,0.12650,-0.00622,-0.01863,0.07520,0.18033,0.06257,-0.05928,0.03348,0.01622,-0.01841,-0.02603,-0.11765,0.14697,0.04511,0.09336,0.03221,-0.03221,-0.03221,-0.03865,-0.05461,0.18204,-0.03195,0.00727,-0.05399,-0.04812,-0.01325,-0.01396,0.05611,0.03677,-0.10551,0.02754,0.18408,-0.18745,-0.02809,-0.01621,-0.02453,-0.03558,-0.08562,0.04855,-0.01064,-0.02236,0.02976,-0.00935,0.10913,-0.07130,-0.06972,-0.07268,0.02890,0.05318,0.03910,0.00831,0.06501,0.10938,0.04349,-0.05053,-0.03782,0.04057,-0.09668,0.08422,0.00263,0.00778,-0.00433,-0.02099,0.01894,0.34984,0.04187,0.02086,-0.00691,-0.06797,0.00547,0.02036,-0.00219,-0.04089,-0.01132,0.09743,-0.06615,-0.04041,0.04464,-0.06052,0.04001,0.11413,0.00262,0.04515,-0.06636,-0.00419,0.06292,0.05078,-0.00622,-0.00643,-0.10210,0.00353,-0.02243,-0.02001,-0.03844,0.02724,0.00691,-0.13141,-0.00444,-0.01447,-0.01204,0.01990,-0.42968,0.00377,-0.00622,0.03434,0.01317,0.17032,0.00099,-0.00744,-0.08074,0.06224,-0.02224,-0.04728,0.01155,0.00945,0.01235,0.04196,-0.00772,0.01347,0.01165,0.12067,0.05771,-0.00623,0.00960,-0.11626,0.16792,0.00199,-0.00808,-0.00012,0.02724,0.08157,0.00187,0.10531,0.08510,-0.01216,0.00123,0.16906,-0.00266,-0.04608,0.04173,0.11757,-0.03901,0.09793,-0.00190,-0.02665,0.01354,0.16906,0.17939,-0.01257,0.00876,-0.07153,-0.04464,-0.03284,0.09668
alpha_014,-0.13596,-0.00646,0.87344,-0.11319,-0.09197,-0.23558,-0.18488,-0.92838,0.74979,0.10537,0.05727,-0.51133,-0.16636,1.00000,0.08942,-0.08222,-0.00000,0.48952,0.48060,0.44658,0.60647,0.33417,0.71952,-0.91242,0.29220,0.27148,0.07452,0.43675,-0.04052,-0.34936,-0.42480,-0.15356,0.06383,-0.19461,-0.62858,-0.14802,0.16269,-0.20734,-0.12277,0.06852,0.17194,0.13675,-0.41277,-0.20501,-0.16821,-0.19458,0.19458,0.19458,0.21567,0.15936,-0.10484,0.46184,-0.10685,0.24318,0.12634,0.05334,0.03098,-0.15096,-0.04776,0.28590,-0.07370,-0.42989,0.43704,0.16847,0.66712,0.12431,0.18286,0.36965,-0.16498,-0.01412,0.05534,-0.08935,0.01252,-0.03561,0.25631,0.24435,0.08187,-0.00644,-0.14086,-0.04028,-0.03743,-0.12135,-0.18692,-0.18494,0.26341,0.67937,-0.07442,0.13598,-0.17123,-0.04990,-0.03518,0.10426,0.17759,-0.00049,-0.59014,-0.06720,-0.00515,-0.00666,0.09189,-0.07254,-0.04110,-0.02545,0.49871,0.07850,0.01910,0.15633,0.18268,-0.02336,0.21502,-0.06053,-0.22866,-0.00390,0.32650,0.18845,0.01340,-0.12142,-0.12641,0.07494,-0.02683,0.16240,-0.07429,0.11254,-0.07382,0.16890,-0.06411,-0.02057,0.06683,0.08311,0.11226,0.06302,-0.06549,0.58456,-0.10609,-0.04807,-0.04428,-0.02731,-0.11891,-0.02593,0.06863,0.06386,0.09039,-0.07177,0.21352,0.13453,-0.03156,-0.07314,-0.04437,0.03019,-0.05785,-0.05125,-0.15415,-0.06513,0.16405,-0.15820,0.23427,-0.08506,-0.00091,-0.00217,-0.00403,-0.06411,-0.10267,0.06877,-0.25410,-0.05630,0.07819,0.00449,-0.15707,0.00231,0.08499,-0.59870,-0.01932,0.04965,-0.22053,0.00443,0.01501,-0.01132,-0.15707,-0.06747,0.05782,0.17764,0.00920,0.02545,0.03824,-0.13598
alpha_015,-0.01238,0.02340,0.05864,-0.03224,-0.02314,-0.13020,-0.03994,-0.11195,0.03002,-0.00414,0.02701,-0.03565,0.00425,0.08942,1.00000,-0.02349,0.00000,0.22355,0.22040,0.20453,-0.00405,0.14261,0.01457,-0.18667,0.05295,0.10774,0.12640,0.24196,-0.02829,-0.08895,-0.24590,-0.10842,0.04270,-0.11126,-0.12022,-0.07845,0.07900,-0.08267,-0.07407,0.08946,0.06789,0.25462,-0.28605,-0.05818,-0.15239,-0.11658,0.11658,0.11658,0.10860,0.08048,0.00600,0.01640,-0.09481,0.07968,0.05992,-0.01177,0.00549,-0.09186,-0.08614,0.18047,-0.05164,-0.34418,0.33919,0.07376,0.01384,0.06102,0.02886,0.16731,-0.04554,0.00090,0.06513,0.00100,-0.00171,0.00095,0.22003,0.12865,0.10497,-0.00221,-0.03718,-0.08134,-0.04169,-0.12812,-0.11163,-0.04839,0.09298,0.03352,-0.09569,0.16932,-0.08811,-0.02180,-0.03543,-0.00120,0.04182,0.00912,-0.12000,-0.08440,0.00344,-0.02682,0.09491,-0.05787,-0.07565,-0.05044,0.03624,0.56013,-0.21321,0.02319,0.13664,-0.01913,0.12567,-0.05619,0.00778,-0.01118,-0.00284,-0.00086,0.00308,-0.02274,-0.07762,-0.00214,-0.04498,-0.01035,-0.01264,-0.00606,-0.02970,0.09891,-0.03480,-0.01891,0.23308,-0.01085,0.06412,0.09682,0.02308,0.14521,-0.02646,-0.07747,0.00463,-0.01683,-0.22418,0.00242,0.02921,0.14092,-0.01156,-0.06502,0.06268,-0.00963,-0.00447,0.01151,-0.01646,0.04128,0.04559,0.00248,-0.01090,0.02034,-0.00715,0.01439,0.17987,-0.25417,0.00427,0.00607,-0.00297,-0.03480,-0.12203,-0.00219,-0.18250,-0.00317,0.01697,0.00248,0.00340,-0.00192,0.04316,-0.02580,0.08255,0.08426,-0.14496,0.03461,-0.01368,-0.00809,0.00340,0.00875,0.00895,-0.00311,0.01073,-0.00064,0.04794,-0.16932
alpha_016,0.35986,-0.00854,-0.07555,0.08705,0.57001,0.13140,0.06990,0.07281,-0.02831,0.02789,-0.03645,0.01376,0.01590,-0.08222,-0.02349,1.00000,0.00000,-0.20113,-0.20646,-0.22288,-0.08716,-0.10415,-0.09832,0.10235,-0.23832,-0.11081,-0.09094,-0.23816,-0.01437,0.06538,0.24345,0.21643,-0.24283,0.05782,0.04528,0.01392,-0.19974,0.14001,0.52845,-0.11359,-0.16312,-0.08246,0.24053,0.13612,0.04598,0.25683,-0.25683,-0.25683,-0.22158,-0.15193,0.03733,-0.08233,0.03643,-0.14827,-0.16102,0.02805,-0.02612,0.12454,0.45372,-0.25740,0.31132,0.16935,-0.17105,-0.16677,-0.03260,-0.28189,-0.13498,-0.24801,0.12144,0.23063,-0.23712,0.05029,0.04077,-0.03298,-0.25305,-0.25355,-0.09589,-0.04794,0.10564,0.21630,0.12572,0.12855,0.12570,0.11282,-0.20621,-0.09349,0.27516,-0.08593,0.02446,0.04277,0.11323,-0.10923,-0.15596,-0.08688,0.04614,0.21145,-0.07442,0.15991,-0.11212,0.21015,0.10779,0.43806,-0.08289,-0.02982,-0.01231,-0.11942,-0.26714,0.02633,-0.26191,0.09409,0.00095,0.08591,-0.07573,-0.22740,0.04475,0.13987,0.07619,-0.15392,0.15549,-0.01267,0.06685,0.02052,0.08560,-0.23749,0.03781,0.18283,-0.02950,-0.05792,-0.25744,-0.09107,0.07206,-0.03980,0.09828,0.49036,-0.00077,0.10225,0.09213,0.06237,-0.08416,-0.02618,-0.05339,0.12145,-0.09387,-0.02212,0.07104,-0.02450,0.05091,-0.03465,0.10332,0.03890,0.12274,0.11435,-0.00898,-0.00086,-0.10956,0.01437,-0.00742,-0.00279,0.10206,0.03781,0.10721,-0.04545,0.19900,0.00778,-0.09812,0.00011,0.07183,-0.01812,-0.39718,0.03879,-0.00968,-0.14077,0.27947,0.02119,-0.14200,0.04411,0.07183,0.00087,-0.08875,-0.01374,0.04978,-0.03786,-0.01238,0.08593
alpha_017,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,,-0.00000,-0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.01497,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00977,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.02536,-0.00000,-0.00000,-0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.00000,0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,0.00119,-0.00000,0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00000,0.00000,-0.00000,0.00000,-0.00000,0.00000,-0.00000,0.00000,-0.00324,-0.00000,-0.00000,-0.00000,0.00000,0.00000,-0.14059,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00421,-0.00000,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,-0.00409,-0.00000,-0.00838,-0.00000,-0.00000,0.00000,0.00000,0.00000,-0.00000,-0.00000,-0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,0.00000,0.00000,0.02508,-0.00000,0.00000,0.00000,0.00000,-0.00000,-0.00000,-0.00000,-0.00000,0.00000,0.02508,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00061,-0.00000
alpha_018,-0.34052,-0.00856,0.42619,-0.29758,-0.22076,-0.58664,-0.18668,-0.46378,0.15376,0.01778,0.34618,-0.10100,-0.11890,0.48952,0.22355,-0.20113,-0.00000,1.00000,0.99054,0.91405,0.30062,0.69966,0.36013,-0.47395,0.59512,0.68115,0.42370,0.89876,-0.10789,-0.17176,-0.88513,-0.39454,0.14814,-0.51101,-0.28051,-0.34393,0.38946,-0.53169,-0.34876,0.41476,0.43629,0.35868,-0.86429,-0.51664,-0.45901,-0.49595,0.49595,0.49595,0.46135,0.40331,-0.22231,0.23329,-0.25278,0.61447,0.32689,0.01288,0.19480,-0.39961,-0.12739,0.71474,-0.21371,-0.88808,0.89875,0.41012,0.13863,0.32708,0.25287,0.72852,-0.41357,-0.03995,0.16989,-0.18645,-0.02030,-0.10129,0.66580,0.60857,0.29487,0.03642,-0.35196,-0.10835,-0.24134,-0.31863,-0.38507,-0.46953,0.50115,0.33803,-0.20396,0.36508,-0.39644,-0.03726,-0.21430,0.13104,0.45293,0.08128,-0.31564,-0.17349,0.04216,-0.01655,0.27058,-0.22605,-0.12680,-0.08116,0.25923,0.20906,0.01991,0.38360,0.44374,-0.14342,0.54063,-0.15220,-0.09760,0.03064,0.17240,0.39761,0.04045,-0.32775,-0.32237,0.20610,-0.04857,0.06312,-0.20151,0.04210,-0.19696,0.44537,-0.05579,-0.05166,0.16060,0.07893,0.31337,0.36068,-0.08678,0.27761,-0.29278,-0.16438,-0.10811,-0.08516,-0.30581,-0.04395,0.19320,0.17489,0.05591,-0.16722,0.27916,0.07530,-0.04264,-0.02351,-0.10126,0.22622,-0.15578,-0.13116,-0.30156,-0.13679,0.06496,-0.06505,0.59318,-0.21168,-0.00259,-0.01972,-0.01517,-0.05579,-0.33128,0.02845,-0.66631,-0.07260,0.17285,0.00362,-0.33395,0.01309,0.22179,-0.24186,-0.04068,0.13827,-0.58001,0.00560,0.03150,-0.05150,-0.33395,-0.15921,0.11765,0.08284,0.00292,0.07676,0.12028,-0.36508
alpha_019,-0.36184,-0.00832,0.41854,-0.31033,-0.22998,-0.61897,-0.17661,-0.45570,0.14467,0.01433,0.34655,-0.08551,-0.11944,0.48060,0.22040,-0.20646,-0.00000,0.99054,1.00000,0.89962,0.29051,0.70744,0.34746,-0.47697,0.57338,0.71457,0.38380,0.88669,-0.11724,-0.17432,-0.88978,-0.40205,0.16048,-0.52522,-0.26484,-0.35852,0.38213,-0.54571,-0.34634,0.41862,0.45428,0.36903,-0.86407,-0.53340,-0.46341,-0.51028,0.51028,0.51028,0.45029,0.41345,-0.22009,0.21750,-0.26223,0.64003,0.32998,0.00574,0.19506,-0.41447,-0.13745,0.74135,-0.22270,-0.89628,0.89718,0.41358,0.12801,0.32995,0.22712,0.71384,-0.42326,-0.04401,0.17715,-0.18671,-0.03063,-0.10317,0.69350,0.62339,0.28720,0.03127,-0.35787,-0.12025,-0.23836,-0.33045,-0.38856,-0.48538,0.48367,0.33083,-0.21256,0.37350,-0.40796,-0.04757,-0.21059,0.10699,0.46734,0.07205,-0.31221,-0.18893,0.03584,-0.01982,0.26915,-0.23296,-0.13590,-0.07691,0.24073,0.21127,0.02724,0.37261,0.43577,-0.14371,0.55610,-0.15791,-0.09347,0.02649,0.15574,0.39175,0.03727,-0.34571,-0.33599,0.18867,-0.04974,0.06338,-0.21336,0.03447,-0.21558,0.45594,-0.06994,-0.05633,0.16785,0.06020,0.31647,0.31780,-0.06781,0.27155,-0.30572,-0.15972,-0.11535,-0.08627,-0.31897,-0.04085,0.18638,0.16137,0.04212,-0.17570,0.25372,0.05978,-0.04072,-0.01557,-0.10418,0.21936,-0.14523,-0.13679,-0.27081,-0.11691,0.05252,-0.04904,0.62443,-0.21894,-0.00221,-0.01514,-0.01639,-0.06994,-0.32199,0.02178,-0.69221,-0.07346,0.16450,0.00393,-0.33781,0.01345,0.23009,-0.21299,-0.04318,0.14393,-0.58721,0.00675,0.02807,-0.04918,-0.33781,-0.16440,0.10816,0.06535,-0.00213,0.06432,0.12504,-0.37350
alpha_020,-0.38217,-0.00848,0.46409,-0.26875,-0.25605,-0.52345,-0.18439,-0.42363,0.15207,0.01995,0.37763,-0.10540,-0.10157,0.44658,0.20453,-0.22288,-0.00000,0.91405,0.89962,1.00000,0.36782,0.63365,0.40451,-0.46050,0.69554,0.69214,0.45602,0.92704,-0.07604,-0.19450,-0.91124,-0.42280,0.17367,-0.43002,-0.25662,-0.30597,0.41595,-0.57050,-0.36712,0.45387,0.44033,0.34845,-0.86982,-0.57649,-0.41304,-0.54032,0.54032,0.54032,0.49847,0.43557,-0.20418,0.25726,-0.25620,0.66430,0.35355,0.01561,0.21382,-0.41427,-0.14051,0.72582,-0.21608,-0.80650,0.81958,0.44449,0.14537,0.35980,0.27788,0.77611,-0.46852,-0.06886,0.17969,-0.20146,-0.02291,-0.10804,0.67381,0.64235,0.24634,0.04482,-0.40051,-0.10155,-0.26462,-0.30596,-0.41205,-0.47091,0.55014,0.37136,-0.22038,0.31212,-0.35847,-0.03793,-0.23213,0.15282,0.52822,0.09240,-0.29273,-0.15314,0.05095,-0.00809,0.26664,-0.26087,-0.07619,-0.08452,0.28365,0.18495,0.00871,0.40746,0.47681,-0.11342,0.58520,-0.13839,-0.08708,0.02276,0.21012,0.42857,0.03568,-0.33961,-0.33366,0.26247,-0.02675,0.05528,-0.21202,0.04655,-0.23414,0.47994,-0.05521,-0.04471,0.12519,0.09390,0.35735,0.39718,-0.11263,0.24761,-0.31730,-0.16426,-0.09367,-0.08031,-0.28115,-0.05302,0.22714,0.16386,0.08075,-0.19251,0.29951,0.09143,-0.04844,-0.02821,-0.10597,0.23671,-0.22255,-0.13540,-0.32511,-0.15664,0.07167,-0.07572,0.57795,-0.17817,-0.00194,-0.02120,-0.01586,-0.05521,-0.32858,0.04115,-0.62442,-0.06521,0.21812,0.00241,-0.32726,0.01365,0.25854,-0.26151,-0.03932,0.14295,-0.60566,0.00509,0.03322,-0.04171,-0.32726,-0.13880,0.14524,0.09580,-0.03103,0.07525,0.11394,-0.31212
alpha_021,-0.14201,0.01505,0.70099,-0.05273,-0.11967,-0.15420,-0.08731,-0.53590,0.52693,0.14596,0.04386,-0.45140,0.02089,0.60647,-0.00405,-0.08716,-0.00000,0.30062,0.29051,0.36782,1.00000,0.14115,0.95432,-0.54458,0.43923,0.22886,0.05944,0.38329,0.00576,-0.47989,-0.37383,-0.16593,0.05042,-0.08026,-0.18456,-0.02618,0.17371,-0.19413,-0.12007,0.05374,0.12945,0.04477,-0.32711,-0.27105,-0.04693,-0.25024,0.25024,0.25024,0.24585,0.18804,-0.01376,0.61157,-0.09636,0.28393,0.14924,0.09219,0.03662,-0.13489,-0.03454,0.23916,-0.06592,-0.18697,0.19519,0.18597,0.66161,0.16447,0.20614,0.39444,-0.23525,-0.04820,0.04979,-0.10638,0.01351,-0.02650,0.21461,0.24471,0.02012,-0.00558,-0.20657,-0.00507,-0.04561,-0.02641,-0.20125,-0.13689,0.32857,0.83380,-0.05699,0.01424,-0.05697,-0.00632,-0.04108,0.16210,0.28412,-0.00041,-0.23551,-0.01168,-0.00551,0.01213,0.04821,-0.12905,0.02317,-0.02178,0.62864,0.00101,0.04895,0.16109,0.21093,0.01216,0.25947,-0.02681,-0.02831,-0.01592,0.63439,0.21803,0.00150,-0.11030,-0.12085,0.15588,-0.01138,0.02509,-0.07710,0.15196,-0.13834,0.20427,-0.00872,-0.01090,-0.03574,0.13790,0.17495,0.07153,-0.12840,0.10730,-0.12876,-0.02126,-0.00439,-0.01103,-0.02052,-0.03982,0.11432,0.01057,0.35247,-0.10904,0.24492,0.26769,-0.04959,-0.12184,-0.04597,0.02620,-0.12054,-0.09026,-0.16662,-0.09173,0.22343,-0.26323,0.14299,0.03384,-0.00107,-0.00580,-0.00416,-0.00872,-0.06892,0.20240,-0.13741,-0.02328,0.15851,0.00538,-0.07913,0.00287,0.08787,-0.64521,0.00610,0.01225,-0.18654,-0.00565,0.01516,0.01259,-0.07913,0.01699,0.11057,0.28282,-0.08435,0.00721,0.00245,-0.01424
alpha_022,-0.24553,0.06430,0.29342,-0.30531,-0.11598,-0.46797,-0.09593,-0.35584,0.10066,-0.00788,0.26150,-0.05219,-0.04184,0.33417,0.14261,-0.10415,0.00000,0.69966,0.70744,0.63365,0.14115,1.00000,0.15762,-0.43920,0.24802,0.52604,0.27665,0.61643,-0.12170,-0.12292,-0.62032,-0.36607,0.13723,-0.54805,-0.19376,-0.44931,0.13446,-0.53203,-0.23958,0.30234,0.46598,0.34098,-0.61402,-0.17169,-0.49422,-0.24634,0.24634,0.24634,0.14262,0.20063,-0.13407,0.04915,-0.21747,0.38502,0.10076,-0.03053,0.07606,-0.43803,-0.08961,0.44920,-0.22242,-0.67362,0.66964,0.18760,0.07034,0.07499,0.05274,0.38359,-0.01137,-0.00604,0.15813,-0.03087,-0.01096,-0.06763,0.49726,0.31965,0.24065,-0.02653,0.06964,-0.11846,-0.07091,-0.30844,-0.30348,-0.48562,0.11532,0.21029,-0.18908,0.39775,-0.49409,-0.07199,-0.04684,-0.05544,0.19732,0.01343,-0.31955,-0.18440,-0.01571,0.00154,0.22515,-0.00460,-0.13974,0.00968,0.05479,0.19618,0.10381,0.23888,0.16197,-0.10599,0.27527,-0.09493,-0.04615,0.02692,-0.03327,0.13125,0.03718,-0.20302,-0.32094,-0.14211,-0.02564,0.03208,-0.22960,-0.02405,-0.09718,0.20668,-0.11792,-0.05565,0.14539,-0.09215,0.05254,0.18585,0.22662,0.16274,-0.27450,-0.10047,-0.14387,-0.08125,-0.24632,0.04515,0.07148,0.13183,-0.14298,-0.09705,0.05976,-0.10767,0.14068,0.02479,-0.04489,0.20992,-0.06982,-0.17694,-0.05895,0.02657,-0.02326,0.05675,0.52580,-0.13334,-0.00228,-0.05078,-0.01373,-0.11792,-0.27545,-0.09543,-0.59189,-0.02548,-0.04016,-0.00010,-0.27222,0.00665,0.14327,-0.07227,0.04655,0.13732,-0.44801,0.01343,-0.00864,-0.09338,-0.27222,-0.09240,-0.10663,-0.05037,0.23831,0.05739,0.16229,-0.39775
